ticker,date,company,industry,sector,exchange
MMI,7/12/22,Marcus & Millichap Inc.,Real Estate Services,Real Estate,New York Stock Exchange
MMLP,7/12/22,Martin Midstream Partners L.P.,Oil & Gas - Midstream,Energy,Nasdaq Global Select
MMM,7/12/22,3M Company,Industrial Products,Industrials,New York Stock Exchange
MMP,7/12/22,Magellan Midstream Partners L.P. Limited Partnership,Oil & Gas - Midstream,Energy,New York Stock Exchange
MMS,7/12/22,Maximus Inc.,Business Services,Industrials,New York Stock Exchange
MMSI,7/12/22,Merit Medical Systems Inc.,Medical Instruments & Equipment,Healthcare,Nasdaq Global Select
MMT,7/12/22,MFS Multimarket Income Trust,Asset Management,Financial Services,New York Stock Exchange
MMU,7/12/22,Western Asset Managed Municipals Fund Inc.,Asset Management,Financial Services,New York Stock Exchange
MMYT,7/12/22,MakeMyTrip Limited,Travel & Leisure,Consumer Cyclical,Nasdaq Global Select
MN,7/12/22,Manning & Napier Inc. Class A,Asset Management,Financial Services,New York Stock Exchange
MNDO,7/12/22,MIND C.T.I. Ltd.,Application Software,Technology,NASDAQ Global Market
MNE,7/12/22,Blackrock Muni New York Intermediate Duration Fund Inc,Asset Management,Financial Services,New York Stock Exchange
MNI,7/12/22,McClatchy Company (The),Publishing,Consumer Cyclical,NYSE American
MNK,7/12/22,Mallinckrodt plc,Drug Manufacturers,Healthcare,New York Stock Exchange
MNKD,7/12/22,MannKind Corporation,Biotechnology,Healthcare,NASDAQ Global Market
MNLO,7/12/22,Menlo Therapeutics Inc.,Biotechnology,Healthcare,Nasdaq Global Select
MNOV,7/12/22,MediciNova Inc.,Biotechnology,Healthcare,NASDAQ Global Market
MNP,7/12/22,Western Asset Municipal Partners Fund Inc.,Asset Management,Financial Services,New York Stock Exchange
MNR,7/12/22,Monmouth Real Estate Investment Corporation Class A,REITs,Real Estate,New York Stock Exchange
MNRO,7/12/22,Monro Inc.,Autos,Consumer Cyclical,Nasdaq Global Select
MNST,7/12/22,Monster Beverage Corporation,Beverages - Non-Alcoholic,Consumer Defensive,Nasdaq Global Select
MNTA,7/12/22,Momenta Pharmaceuticals Inc.,Drug Manufacturers,Healthcare,Nasdaq Global Select
MNTX,7/12/22,Manitex International Inc.,Industrial Products,Industrials,NASDAQ Capital Market
MO,7/12/22,Altria Group Inc.,Tobacco Products,Consumer Defensive,New York Stock Exchange
MOBL,7/12/22,MobileIron Inc.,Application Software,Technology,Nasdaq Global Select
MOC,7/12/22,Command Security Corporation,Consulting & Outsourcing,Industrials,NYSE American
MOD,7/12/22,Modine Manufacturing Company,Autos,Consumer Cyclical,New York Stock Exchange
MODN,7/12/22,Model N Inc.,Application Software,Technology,New York Stock Exchange
MOFG,7/12/22,MidWestOne Financial Group Inc.,Banks,Financial Services,Nasdaq Global Select
MOG.A,7/12/22,Moog Inc. Class A,Aerospace & Defense,Industrials,New York Stock Exchange
MOG.B,7/12/22,Moog Inc. Class B,Aerospace & Defense,Industrials,New York Stock Exchange
MOGO,7/12/22,Mogo Finance Technology Inc.,Credit Services,Financial Services,NASDAQ Capital Market
MOGU,7/12/22,MOGU Inc. American Depositary Shares (each representing 25 Class A),Retail - Apparel & Specialty,Consumer Cyclical,New York Stock Exchange
MOH,7/12/22,Molina Healthcare Inc,Health Care Plans,Healthcare,New York Stock Exchange
MOMO,7/12/22,Momo Inc.,Online Media,Technology,Nasdaq Global Select
MOR,7/12/22,MorphoSys AG,Biotechnology,Healthcare,Nasdaq Global Select
MORN,7/12/22,Morningstar Inc.,Business Services,Industrials,Nasdaq Global Select
MOS,7/12/22,Mosaic Company (The),Agriculture,Basic Materials,New York Stock Exchange
MOSC,7/12/22,Mosaic Acquisition Corp. Class A,Conglomerates,Industrials,New York Stock Exchange
MOSY,7/12/22,MoSys Inc.,Semiconductors,Technology,NASDAQ Capital Market
MOTS,7/12/22,Motus GI Holdings Inc.,Medical Diagnostics & Research,Healthcare,NASDAQ Capital Market
MOV,7/12/22,Movado Group Inc.,Retail - Apparel & Specialty,Consumer Cyclical,New York Stock Exchange
MOXC,7/12/22,Moxian Inc.,Online Media,Technology,NASDAQ Capital Market
MPA,7/12/22,Blackrock MuniYield Pennsylvania Quality Fund,Asset Management,Financial Services,New York Stock Exchange
MPAA,7/12/22,Motorcar Parts of America Inc.,Autos,Consumer Cyclical,Nasdaq Global Select
MPB,7/12/22,Mid Penn Bancorp,Banks,Financial Services,NASDAQ Global Market
MPC,7/12/22,Marathon Petroleum Corporation,Oil & Gas - Refining & Marketing,Energy,New York Stock Exchange
MPLX,7/12/22,MPLX LP Representing Limited Partner Interests,Oil & Gas - Midstream,Energy,New York Stock Exchange
MPO,7/12/22,Midstates Petroleum Company Inc.,Oil & Gas - E&P,Energy,New York Stock Exchange
MPV,7/12/22,Barings Participation Investors,Asset Management,Financial Services,New York Stock Exchange
MPVD,7/12/22,Mountain Province Diamonds Inc.,Metals & Mining,Basic Materials,Nasdaq Global Select
MPW,7/12/22,Medical Properties Trust Inc.,REITs,Real Estate,New York Stock Exchange
MPWR,7/12/22,Monolithic Power Systems Inc.,Semiconductors,Technology,Nasdaq Global Select
MPX,7/12/22,Marine Products Corporation,Autos,Consumer Cyclical,New York Stock Exchange
