ticker,date,company name,industry,sector,description,exchange,market cap,website,ceo
SHIP,30-Jan-08,Seanergy Maritime Holdings Corp,Transportation & Logistics,Industrials,Seanergy Maritime Holdings Corp provides global transportation solutions in the dry bulk shipping sectors through its vessel owning subsidiaries.,NASDAQ Capital Market,17568940,http://www.seanergymaritime.com,Stamatios N. Tsantanis
SOL,29-Jan-08,Renesola Ltd. ADR,Semiconductors,Technology,ReneSola Ltd is engaged in the business including the sale of project SPVs or development and sale of solar power projects as a developer and the sale of electricity generated by the solar power projects operated as an IPP.,New York Stock Exchange,66238129,http://www.renesolapower.com,Xianshou Li
MOFG,29-Jan-08,MidWestOne Financial Group Inc.,Banks,Financial Services,"MidWestOne Financial Group Inc is a bank holding company. The company through its subsidiary provides commercial and retail lending services to individuals, businesses, governmental units and institutional customers in central and east-central Iowa.",Nasdaq Global Select,352489634,http://www.midwestone.com,Charles N. Funk
ISDR,23-Jan-08,Issuer Direct Corporation,Application Software,Technology,"Issuer Direct Corp provides disclosure management solution, shareholder communication tools and cloud-based compliance technologies. It works with clients in the financial service industry including brokerage firms, corporate issuers and mutual funds.",NYSE American,47946241,http://www.issuerdirect.com,Brian R. Balbirnie
EBSB,23-Jan-08,Meridian Bancorp Inc.,Banks,Financial Services,"Meridian Bancorp Inc owns and operates the East Boston Savings Bank. Through East Boston Savings Bank, it offers deposit accounts, loan products to individuals and businesses. The company operates its business across multiple locations in Massachusetts.",Nasdaq Global Select,845419164,http://www.ebsb.com,Richard J. Gavegnano
IDEX,16-Jan-08,Ideanomics Inc.,Application Software,Technology,Seven Stars Cloud Group Inc is a next generation artificial Intelligent and blockchain powered fintech company. It provides asset owners and holders a seamless method and platform for digital asset securitization and digital currency tokenization.,NASDAQ Capital Market,122719207,http://www.sevenstarscloud.com,Brett McGonegal
BIP,10-Jan-08,Brookfield Infrastructure Partners LP Limited Partnership Units,Utilities - Regulated,Utilities,"Brookfield Infrastructure Partners LP owns and operates utilities, transport and energy businesses, and freehold timberlands in North and South America, Australia, Europe, and the Asia-Pacific region.",New York Stock Exchange,10680667244,http://www.brookfieldinfrastructure.com,Samuel J.B. Pollock
SFBC,9-Jan-08,Sound Financial Bancorp Inc.,Banks,Financial Services,Sound Financial Bancorp Inc through Sound Community Bank serves as a financial institution providing to its customers traditional banking and other financial services.,NASDAQ Capital Market,85275134,http://www.soundcb.com,Laura Lee Stewart
SATS,2-Jan-08,EchoStar Corporation,Communication Equipment,Technology,"EchoStar Corp provides satellite operations, video delivery solutions, digital set-top boxes, & broadband satellite technologies & services for home & office, delivering network technologies, managed services, solutions for enterprises and governments.",Nasdaq Global Select,3946602722,http://www.echostar.com,Michael T. Dugan
FLNT,2-Jan-08,Fluent Inc.,Advertising & Marketing Services,Consumer Cyclical,"Fluent Inc is a data and analytics company. The firm is engaged in providing cloud-based, information and performance marketing solutions to enterprises in a variety of industries.",NASDAQ Global Market,353869251,http://www.fluentco.com,Ryan Schulke
DAN,2-Jan-08,Dana Incorporated,Autos,Consumer Cyclical,"Dana Inc provides technology driveline, sealing and thermal-management products for vehicle manufacturers in the light vehicle, medium/heavy vehicle and off-highway markets.",New York Stock Exchange,2567764594,http://www.dana.com/investors,James K. Kamsickas
